CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SBTG;MS0006;TRÊS LAGOAS;TRÊS LAGOAS;MS;20° 45' 5'' S;51° 40' 49'' W;323 m;VFR Diurno/Noturno;-;-; 07/25;2000 m;30 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2140;0;0;0;PA2019-2140;;;;AP-1;Classe I;3ª;3C;NINST;37;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBTG;BR_publico_Atualizadoem_19JUL2022;-20,75138889;-51,68027778;323;70;2000;30;;;;;;;1
SBTK;AC0004;TARAUACÁ;TARAUACÁ;AC;8° 9' 17'' S;70° 46' 58'' W;197 m;VFR Diurno;-;-; 14/32;1130 m;14 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2006-0657;0;0;0;PA2006-0657;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-;SBTK;BR_publico_Atualizadoem_19JUL2022;-8,154722222;-70,78277778;197;140;1130;14;;;;;;;1
SSTE;RS0011;TORRES;TORRES;RS;29° 24' 54'' S;49° 48' 36'' W;9 m;VFR Diurno/Noturno;-;-; 06/24;1507 m;30 m;PCN 32/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2977;0;0;0;PA2020-2977;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSTE;BR_publico_Atualizadoem_19JUL2022;-29,415;-49,81;9;60;1507;30;;;;;;;1
SBTT;AM0005;TABATINGA;TABATINGA;AM;4° 15' 2'' S;69° 56' 16'' W;80 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 12/30;2150 m;32 m;PCN 34/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4744;0;0;0;PA2021-4744;;;;AP-1;Classe I;2ª;4C;NPA;21;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-;SBTT;BR_publico_Atualizadoem_19JUL2022;-4,250555556;-69,93777778;80;120;2150;32;;;;;;;1
SBTU;PA0007;TUCURUÍ;TUCURUÍ;PA;3° 46' 37'' S;49° 43' 11'' W;253 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;2000 m;45 m;PCN 33/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1885;0;0;0;PA2016-1885;;;;AP-1;Classe I;-;3C;NPA;8;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBTU;BR_publico_Atualizadoem_19JUL2022;-3,776944444;-49,71972222;253;20;2000;45;;;;;;;1
SBUA;AM0003;SÃO GABRIEL DA CACHOEIRA;SÃO GABRIEL DA CACHOEIRA;AM;0° 8' 53'' S;66° 59' 9'' W;76 m;VFR Diurno e IFR Diurno;-;-; 05/23;2600 m;45 m;PCN 47/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1183;0;0;0;PA2020-1183;;;;AP-1;Classe I;-;2C;NPA;;PA2020-1269 / PA2020-1964;-;PA2020-1269 / PA2020-1964;-;-;-;-;X;-;SBUA;BR_publico_Atualizadoem_19JUL2022;-0,148055556;-66,98583333;76;50;2600;45;;;;;;;1
SBUF;BA0007;PAULO AFONSO;PAULO AFONSO;BA;9° 24' 4'' S;38° 15' 4'' W;269 m;VFR Diurno/Noturno;-;-; 14/32;1800 m;45 m;PCN 35/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2868;0;0;0;PA2015-2868;;;;AP-0;Classe I;3ª;3C;NINST;7;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBUF;BR_publico_Atualizadoem_19JUL2022;-9,401111111;-38,25111111;269;140;1800;45;;;;;;;1
SBUG;RS0012;RUBEM BERTA;URUGUAIANA;RS;29° 47' 0'' S;57° 2' 13'' W;78 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1500 m;30 m;PCN 18/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0388;0;0;0;PA2015-0388;;;;AP-1;Classe I;2ª;3C;NPA;6;-;PA2016-0908 / PA2016-2636;-;PA2016-0908 / PA2016-2636;-;-;-;;-;SBUG;BR_publico_Atualizadoem_19JUL2022;-29,78333333;-57,03694444;78;90;1500;30;;;;;;;1
SBUL;MG0002;TEN CEL AVIADOR CÉSAR BOMBONATO;UBERLÂNDIA;MG;18° 53' 1'' S;48° 13' 31'' W;943 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 04/22;2100 m;45 m;PCN 43/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0465;0;0;0;PA2014-0465;;;;AP-2;Classe III;2ª;4C;PA1(04) / NPA(22);;PA2021-4262;-;PA2021-4262;-;-;-;-;;-;SBUL;BR_publico_Atualizadoem_19JUL2022;-18,88361111;-48,22527778;943;40;2100;45;;;;;;;1
SBUR;MG0009;MARIO DE ALMEIDA FRANCO;UBERABA;MG;19° 45' 53'' S;47° 57' 58'' W;809 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1759 m;45 m;PCN 32/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1597;0;0;0;PA2015-1597;;;;AP-1;Classe I;2ª;3C;NPA;54;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBUR;BR_publico_Atualizadoem_19JUL2022;-19,76472222;-47,96611111;809;170;1759;45;;;;;;;1
SBVG;MG0019;MAJOR BRIGADEIRO TROMPOWSKY;VARGINHA;MG;21° 35' 20'' S;45° 28' 24'' W;922 m;VFR Diurno e IFR Diurno/Noturno;-;-; 04/22;2100 m;30 m;PCN 26/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3825;0;0;0;PA2017-3825;;;;AP-1;Classe I;4ª;2C;NPA;11;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBVG;BR_publico_Atualizadoem_19JUL2022;-21,58888889;-45,47333333;922;40;2100;30;;;;;;;1
SBVH;RO0003;VILHENA;VILHENA;RO;12° 41' 39'' S;60° 5' 50'' W;615 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;2600 m;30 m;PCN 30/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0819;0;0;0;PA2015-0819;;;;AP-1;Classe I;4ª;3C;NPA;12;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBVH;BR_publico_Atualizadoem_19JUL2022;-12,69416667;-60,09722222;615;30;2600;30;;;;;;;1
SBVT;ES0001;EURICO DE AGUIAR SALLES;VITÓRIA;ES;20° 15' 29'' S;40° 17' 11'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL CARGA; 06/24;1750 m;45 m;PCN 45/F/B/X/T;Asfalto; 02/20;2058 m;45 m;PCN 86/F/B/X/T;ASPH;-;-;-;-;-;-;-;-;-;-;PA2014-1002;0;0;0;PA2014-1002;;;;AP-2;Classe III;2ª;4D;"NPA(02;20;06) / PA1(24)";;PA2021-6883;-;PA2021-6883;-;-;-;-;;-;SBVT;BR_publico_Atualizadoem_19JUL2022;-20,25805556;-40,28638889;3;60;1750;45;20;2058;45;;;;2
SBZM;MG0006;PRESIDENTE ITAMAR FRANCO;GOIANÁ;MG;21° 30' 47'' S;43° 10' 23'' W;412 m;VFR Diurno e IFR Diurno/Noturno;-;-; 08/26;2525 m;45 m;PCN 66/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7114;0;0;0;PA2022-7114;;;;AP-1;Classe I;2ª;4C;NPA;;PA2018-1225 / PA2020-1188;-;PA2018-1225 / PA2020-1188;-;-;-;-;;-;SBZM;BR_publico_Atualizadoem_19JUL2022;-21,51305556;-43,17305556;412;80;2525;45;;;;;;;1
SDAA;SP0045;ARARAS;ARARAS;SP;22° 20' 13'' S;47° 21' 30'' W;685 m;VFR Diurno;-;-; 12/30;1150 m;30 m;PCN 21/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1744;0;0;0;PA2020-1744;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDAA;BR_publico_Atualizadoem_19JUL2022;-22,33694444;-47,35833333;685;120;1150;30;;;;;;;1
SDAD;SP0046;EVERALDO MORAES BARRETO;ADAMANTINA;SP;21° 41' 46'' S;51° 5' 47'' W;425 m;VFR Diurno;-;-; 09/27;1240 m;18 m;5000 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1086;0;0;0;PA2020-1086;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDAD;BR_publico_Atualizadoem_19JUL2022;-21,69611111;-51,09638889;425;90;1240;18;;;;;;;1
SDAE;SP0053;SÃO PEDRO;SÃO PEDRO;SP;22° 35' 1'' S;47° 53' 46'' W;566 m;VFR Diurno;-;-; 14/32;1000 m;25 m;5600 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1021;0;0;0;PA2020-1021;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-6160;PA2021-6160;;-;SDAE;BR_publico_Atualizadoem_19JUL2022;-22,58361111;-47,89611111;566;140;1000;25;;;;;;;1
SDAG;RJ0010;ANGRA DOS REIS;ANGRA DOS REIS;RJ;22° 58' 31'' S;44° 18' 26'' W;3 m;VFR Diurno;-;-; 10/28;913 m;30 m;PCN 14/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2842;0;0;0;PA2018-2842;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDAG;BR_publico_Atualizadoem_19JUL2022;-22,97527778;-44,30722222;3;100;913;30;;;;;;;1
SDAI;SP0047;AMERICANA;AMERICANA;SP;22° 45' 19'' S;47° 16' 5'' W;611 m;VFR Diurno/Noturno;-;-; 12/30;1100 m;18 m;PCN 9/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-0097;0;0;0;PA2017-0097;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDAI;BR_publico_Atualizadoem_19JUL2022;-22,75527778;-47,26805556;611;120;1100;18;;;;;;;1
SDAM;SP0037;ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL;CAMPINAS;SP;22° 51' 33'' S;47° 6' 29'' W;612 m;VFR Diurno/Noturno;-;-; 16/34;1200 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3803;0;0;0;PA2018-3803;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDAM;BR_publico_Atualizadoem_19JUL2022;-22,85916667;-47,10805556;612;160;1200;30;;;;;;;1
SDBA;SP0063;BATATAIS;BATATAIS;SP;20° 52' 37'' S;47° 35' 9'' W;881 m;VFR Diurno;-;-; 13/31;1000 m;30 m;5700 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1240;0;0;0;PA2018-1240;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDBA;BR_publico_Atualizadoem_19JUL2022;-20,87694444;-47,58583333;881;130;1000;30;;;;;;;1
SDBB;SP0018;BEBEDOURO;BEBEDOURO;SP;20° 54' 1'' S;48° 28' 25'' W;592 m;VFR Diurno;-;-; 13/31;1500 m;23 m;PCN 15/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0924;0;0;0;PA2014-0924;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDBB;BR_publico_Atualizadoem_19JUL2022;-20,90027778;-48,47361111;592;130;1500;23;;;;;;;1
SDBK;SP0019;TANCREDO DE ALMEIDA NEVES;BOTUCATU;SP;22° 56' 12'' S;48° 28' 3'' W;918 m;VFR Diurno/Noturno;-;-; 01/19;1500 m;30 m;PCN 40/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2012-2536;0;0;0;PA2012-2536;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDBK;BR_publico_Atualizadoem_19JUL2022;-22,93666667;-48,4675;918;10;1500;30;;;;;;;1
SDBY;SP0032;BARIRI;BARIRI;SP;22° 4' 9'' S;48° 42' 23'' W;493 m;VFR Diurno;-;-; 11/29;1470 m;30 m;5600 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1303;0;0;0;PA2020-1303;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDBY;BR_publico_Atualizadoem_19JUL2022;-22,06916667;-48,70638889;493;110;1470;30;;;;;;;1
SDCA;SP0051;CAPÃO BONITO;CAPÃO BONITO;SP;24° 2' 1'' S;48° 21' 25'' W;714 m;VFR Diurno;-;-; 16/34;1360 m;20 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2893;0;0;0;PA2018-2893;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-3485;PA2020-3485;;-;SDCA;BR_publico_Atualizadoem_19JUL2022;-24,03361111;-48,35694444;714;160;1360;20;;;;;;;1
SDCG;AM0016;SENADORA EUNICE MICHILES;SÃO PAULO DE OLIVENÇA;AM;3° 28' 9'' S;68° 55' 16'' W;102 m;VFR Diurno;-;-; 04/22;1200 m;23 m;PCN 6/R/B/Y/T;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6999;0;0;0;PA2022-6999;;;;AP-0;Classe I;-;2C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SDCG;BR_publico_Atualizadoem_19JUL2022;-3,469166667;-68,92111111;102;40;1200;23;;;;;;;1
SDCO;SP0027;SOROCABA;SOROCABA;SP;23° 28' 40'' S;47° 29' 24'' W;635 m;VFR Diurno/Noturno;-;-; 01/19;1630 m;30 m;PCN 36/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7120;0;0;0;PA2022-7120;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-;SDCO;BR_publico_Atualizadoem_19JUL2022;-23,47777778;-47,49;635;10;1630;30;;;;;;;1
SDDN;SP0020;PAULINO RIBEIRO DE ANDRADE;ANDRADINA;SP;20° 55' 30'' S;51° 22' 55'' W;380 m;VFR Diurno/Noturno;-;-; 11/29;1500 m;30 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3120;PA2022-7344;0;0;PA2015-3120;PA2022-7344;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDDN;BR_publico_Atualizadoem_19JUL2022;-20,925;-51,38194444;380;110;1500;30;;;;;;;1
SDDR;SP0021;DRACENA;DRACENA;SP;21° 27' 38'' S;51° 36' 25'' W;372 m;VFR Diurno/Noturno;-;-; 09/27;1500 m;30 m;PCN 14/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0904;0;0;0;PA2014-0904;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDDR;BR_publico_Atualizadoem_19JUL2022;-21,46055556;-51,60694444;372;90;1500;30;;;;;;;1
SDEP;SP0052;GERALDO MOACIR BORDON;PRESIDENTE EPITÁCIO;SP;21° 46' 30'' S;52° 8' 37'' W;297 m;VFR Diurno;-;-; 06/24;1345 m;18 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2971;0;0;0;PA2020-2971;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDEP;BR_publico_Atualizadoem_19JUL2022;-21,775;-52,14361111;297;60;1345;18;;;;;;;1
SDET;SP0067;TIETÊ;TIETÊ;SP;23° 6' 17'' S;47° 43' 28'' W;501 m;VFR Diurno;-;-; 02/20;850 m;30 m;5000 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2412;0;0;0;PA2020-2412;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDET;BR_publico_Atualizadoem_19JUL2022;-23,10472222;-47,72444444;501;20;850;30;;;;;;;1
SDFD;SP0054;CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES;FERNANDÓPOLIS;SP;20° 16' 36'' S;50° 12' 50'' W;499 m;VFR Diurno;-;-; 08/26;1000 m;25 m;PCN 16/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1338;0;0;0;PA2018-1338;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDFD;BR_publico_Atualizadoem_19JUL2022;-20,27666667;-50,21388889;499;80;1000;25;;;;;;;1
SDFX;BA0054;CASA NOVA;CASA NOVA;BA;9° 9' 27'' S;40° 56' 15'' W;405 m;VFR Diurno;-;-; 12/30;1129 m;23 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0532;0;0;0;PA2016-0532;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa.;PA2021-6698;PA2021-6698;;-;SDFX;BR_publico_Atualizadoem_19JUL2022;-9,1575;-40,9375;405;120;1129;23;;;;;;;1
SDGC;SP0055;GARÇA;GARÇA;SP;22° 11' 1'' S;49° 39' 22'' W;664 m;VFR Diurno;-;-; 01/19;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1027;0;0;0;PA2020-1027;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDGC;BR_publico_Atualizadoem_19JUL2022;-22,18361111;-49,65611111;664;10;1000;30;;;;;;;1
SDIG;SP0038;IBITINGA;IBITINGA;SP;21° 44' 50'' S;48° 51' 21'' W;542 m;VFR Diurno;-;-; 13/31;1200 m;18 m;5600 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1074;0;0;0;PA2020-1074;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2021-6149;PA2021-6149;;-;SDIG;BR_publico_Atualizadoem_19JUL2022;-21,74722222;-48,85583333;542;130;1200;18;;;;;;;1
SDIM;SP0033;DR. ANTONIO RIBEIRO NOGUEIRA JÚNIOR;ITANHAÉM;SP;24° 9' 53'' S;46° 47' 8'' W;3 m;VFR Diurno/Noturno;-;-; 15/33;1350 m;30 m;PCN 31/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2423;0;0;0;PA2020-2423;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SDIM;BR_publico_Atualizadoem_19JUL2022;-24,16472222;-46,78555556;3;150;1350;30;;;;;;;1
SDIV;SP0056;ITUVERAVA;ITUVERAVA;SP;20° 22' 31'' S;47° 46' 7'' W;623 m;VFR Diurno;-;-; 17/35;1350 m;23 m;PCN 13/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0970;0;0;0;PA2020-0970;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDIV;BR_publico_Atualizadoem_19JUL2022;-20,37527778;-47,76861111;623;170;1350;23;;;;;;;1
SDJC;SP0064;JABOTICABAL;JABOTICABAL;SP;21° 13' 51'' S;48° 17' 8'' W;615 m;VFR Diurno;-;-; 07/25;960 m;23 m;5600 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1754;0;0;0;PA2018-1754;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDJC;BR_publico_Atualizadoem_19JUL2022;-21,23083333;-48,28555556;615;70;960;23;;;;;;;1
SDJO;SP0057;SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;SP;20° 35' 36'' S;47° 50' 32'' W;650 m;VFR Diurno;-;-; 14/32;1374 m;23 m;PCN 27/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6998;0;0;0;PA2022-6998;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDJO;BR_publico_Atualizadoem_19JUL2022;-20,59333333;-47,84222222;650;140;1374;23;;;;;;;1
SDJV;SP0035;MUNICIPAL DE SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;SP;22° 1' 0'' S;46° 50' 26'' W;762 m;VFR Diurno/Noturno;-;-; 04/22;1250 m;30 m;PCN 20/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1715;0;0;0;PA2016-1715;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDJV;BR_publico_Atualizadoem_19JUL2022;-22,01666667;-46,84055556;762;40;1250;30;;;;;;;1
SDKJ;BA0025;FORMOSA DO RIO PRETO;FORMOSA DO RIO PRETO;BA;11° 1' 16'' S;45° 11' 14'' W;528 m;VFR Diurno;-;-; 14/32;1236 m;18.5 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6271;0;0;0;PA2021-6271;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDKJ;BR_publico_Atualizadoem_19JUL2022;-11,02111111;-45,18722222;528;140;1236;18;;;;;;;1
SDKK;SP0058;MOCOCA;MOCOCA;SP;21° 29' 14'' S;47° 2' 2'' W;651 m;VFR Diurno;-;-; 04/22;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6996;0;0;0;PA2022-6996;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-4406;PA2021-4406;;-;SDKK;BR_publico_Atualizadoem_19JUL2022;-21,48722222;-47,03388889;651;40;1000;30;;;;;;;1
SDLL;SP0048;YOLANDA PENTEADO;LEME;SP;22° 13' 33'' S;47° 22' 51'' W;627 m;VFR Diurno;-;-; 09/27;1332 m;18 m;PCN 7/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4264;0;0;0;PA2021-4264;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDLL;BR_publico_Atualizadoem_19JUL2022;-22,22583333;-47,38083333;627;90;1332;18;;;;;;;1
SDLP;SP0034;MUNICIPAL JOSÉ BOSO;LENÇÓIS PAULISTA;SP;22° 34' 42'' S;48° 46' 28'' W;621 m;VFR Diurno/Noturno;-;-; 07/25;1264 m;20 m;PCN 13/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2894;0;0;0;PA2018-2894;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDLP;BR_publico_Atualizadoem_19JUL2022;-22,57833333;-48,77444444;621;70;1264;20;;;;;;;1
SDLY;SP0071;ARMANDO NATALI;MATÃO;SP;21° 37' 27'' S;48° 21' 3'' W;635 m;VFR Diurno;-;-; 16/34;750 m;18 m;5600 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1919;0;0;0;PA2020-1919;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SDLY;BR_publico_Atualizadoem_19JUL2022;-21,62416667;-48,35083333;635;160;750;18;;;;;;;1
SBMI;RJ0009;MARICÁ;MARICÁ;RJ;22° 55' 5'' S;42° 49' 44'' W;0 m;VFR Diurno/Noturno;-;-; 09/27;1190 m;30 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0538;0;0;0;PA2019-0538;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SBMI;BR_publico_Atualizadoem_19JUL2022;-22,91805556;-42,82888889;0;90;1190;30;;;;;;;1
SDMH;SP0059;MIRASSOL;MIRASSOL;SP;20° 48' 26'' S;49° 29' 10'' W;584 m;VFR Diurno;-;-; 06/24;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1992-0074;PA2014-0905;PA2014-3150;0;PD1992-0074;PA2014-0905;PA2014-3150;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-4897;PA2021-4897;;Suspensos os efeitos da Portaria 905/SIA, de 10/04/2014, pela decisão liminar deferida pelo juízo da 3ª Vara Federal de São José do Rio Preto - SP, nos autos do Processo judicial n.º 0002612-13.2014.4.03.6106,  proposta pela Associação Pró-Aeroporto de Mi;SDMH;BR_publico_Atualizadoem_19JUL2022;-20,80722222;-49,48611111;584;60;1000;30;;;;;;;1
